┌─────────────┬────────────────────┬────────────────────┬────────────────────┐
│ fare_amount │      zone_avg      │      boro_avg      │      all_avg       │
│   double    │       double       │       double       │       double       │
├─────────────┼────────────────────┼────────────────────┼────────────────────┤
│        13.5 │ 10.614122976385021 │ 11.166183928202422 │ 13.141501256108317 │
│        11.5 │ 10.992134590454327 │ 11.166183928202422 │ 13.141501256108317 │
│        27.0 │ 14.199595004047625 │  35.48678138288885 │ 13.141501256108317 │
│       -20.0 │ 10.134989896051858 │ 11.166183928202422 │ 13.141501256108317 │
│        20.0 │ 10.134989896051858 │ 11.166183928202422 │ 13.141501256108317 │
│         9.0 │ 10.134989896051858 │ 11.166183928202422 │ 13.141501256108317 │
│         7.5 │ 14.287837889638128 │ 11.166183928202422 │ 13.141501256108317 │
│        13.0 │ 11.511945141556426 │ 11.166183928202422 │ 13.141501256108317 │
│         5.5 │ 12.268058724826263 │ 11.166183928202422 │ 13.141501256108317 │
│        33.0 │  43.87620139866722 │  35.48678138288885 │ 13.141501256108317 │
│        12.5 │  9.304850238943523 │ 11.166183928202422 │ 13.141501256108317 │
│         5.5 │ 10.593187054501948 │ 11.166183928202422 │ 13.141501256108317 │
│        13.0 │ 10.992134590454327 │ 11.166183928202422 │ 13.141501256108317 │
│         4.5 │ 14.199595004047625 │  35.48678138288885 │ 13.141501256108317 │
│         7.0 │  9.960817762139875 │ 11.166183928202422 │ 13.141501256108317 │
│        10.5 │ 10.401852449544693 │ 11.166183928202422 │ 13.141501256108317 │
│         6.5 │ 10.701797048800676 │ 11.166183928202422 │ 13.141501256108317 │
│        12.5 │ 11.241733410723633 │ 11.166183928202422 │ 13.141501256108317 │
│        11.5 │ 11.109301909780273 │ 11.166183928202422 │ 13.141501256108317 │
│        20.0 │ 12.268058724826263 │ 11.166183928202422 │ 13.141501256108317 │
│        13.5 │ 16.164544478304066 │ 11.166183928202422 │ 13.141501256108317 │
│        11.0 │ 11.241733410723633 │ 11.166183928202422 │ 13.141501256108317 │
│         5.0 │ 11.629143649666881 │ 11.166183928202422 │ 13.141501256108317 │
│         7.0 │ 11.629143649666881 │ 11.166183928202422 │ 13.141501256108317 │
│        12.0 │  10.73713462400698 │ 11.166183928202422 │ 13.141501256108317 │
│        24.0 │ 10.134989896051858 │ 11.166183928202422 │ 13.141501256108317 │
│         4.5 │ 10.885576273025427 │ 11.166183928202422 │ 13.141501256108317 │
│         5.5 │ 11.995265953244827 │ 11.166183928202422 │ 13.141501256108317 │
│        11.0 │ 11.636809412831004 │ 11.166183928202422 │ 13.141501256108317 │
│        19.5 │ 11.142538146507151 │ 11.166183928202422 │ 13.141501256108317 │
│         6.0 │ 13.562601976146265 │ 11.166183928202422 │ 13.141501256108317 │
│         7.5 │ 11.962162454010661 │ 11.166183928202422 │ 13.141501256108317 │
│         5.5 │ 11.241733410723633 │ 11.166183928202422 │ 13.141501256108317 │
│        10.0 │ 11.511945141556426 │ 11.166183928202422 │ 13.141501256108317 │
│         5.0 │ 11.241733410723633 │ 11.166183928202422 │ 13.141501256108317 │
│        52.0 │ 11.241733410723633 │ 11.166183928202422 │ 13.141501256108317 │
│         7.0 │ 15.910980131393446 │ 11.166183928202422 │ 13.141501256108317 │
│        25.5 │ 16.687725720413315 │ 11.166183928202422 │ 13.141501256108317 │
│         7.5 │ 15.669368597811026 │ 11.166183928202422 │ 13.141501256108317 │
│        20.5 │  43.87620139866722 │  35.48678138288885 │ 13.141501256108317 │
│        55.0 │ 12.278656176305997 │ 11.166183928202422 │ 13.141501256108317 │
│         6.5 │  9.784515199087622 │ 11.166183928202422 │ 13.141501256108317 │
│        52.0 │  43.87620139866722 │  35.48678138288885 │ 13.141501256108317 │
│        52.0 │  43.87620139866722 │  35.48678138288885 │ 13.141501256108317 │
│         8.0 │ 11.142538146507151 │ 11.166183928202422 │ 13.141501256108317 │
